广东电信,#genre#
央视台球,http://61.140.148.177:7777/udp/239.253.43.21:5146
央视台球,http://61.140.148.177:7777/udp/239.253.43.11:5146
高尔夫网球,http://61.140.148.177:7777/udp/239.253.43.22:5146
高尔夫网球,http://61.140.148.177:7777/udp/239.253.43.12:5146
女性时尚,http://61.140.148.177:7777/udp/239.253.43.23:5146
女性时尚,http://61.140.148.177:7777/udp/239.253.43.8:5146
世界地理,http://61.140.148.177:7777/udp/239.253.43.24:5146
世界地理,http://61.140.148.177:7777/udp/239.253.43.7:5146
怀旧剧场,http://61.140.148.177:7777/udp/239.253.43.25:5146
怀旧剧场,http://61.140.148.177:7777/udp/239.253.43.5:5146
风云剧场,http://61.140.148.177:7777/udp/239.253.43.26:5146
风云剧场,http://61.140.148.177:7777/udp/239.253.43.16:5146
央视文化精品,http://61.140.148.177:7777/udp/239.253.43.27:5146
央视文化精品,http://61.140.148.177:7777/udp/239.253.43.13:5146
第一剧场,http://61.140.148.177:7777/udp/239.253.43.28:5146
第一剧场,http://61.140.148.177:7777/udp/239.253.43.15:5146
风云音乐,http://61.140.148.177:7777/udp/239.253.43.29:5146
风云音乐,http://61.140.148.177:7777/udp/239.253.43.6:5146
CHC电影,http://61.140.148.177:7777/udp/239.77.0.27:5146
金鹰卡通,http://61.140.148.177:7777/udp/239.77.0.164:5146
CETV-1,http://61.140.148.177:7777/udp/239.77.1.222:5146
中国教育-1,http://61.140.148.177:7777/udp/239.77.0.200:5146
CETV-4,http://61.140.148.177:7777/udp/239.77.1.200:5146
CETV-4,http://61.140.148.177:7777/udp/239.253.43.40:5146
CETV-4,http://61.140.148.177:7777/udp/239.253.43.114:5146
早期教育,http://61.140.148.177:7777/udp/239.77.0.180:5146
中国交通,http://61.140.148.177:7777/udp/239.77.1.249:5146
茶,http://61.140.148.177:7777/udp/239.77.0.15:5146
快乐垂钓,http://61.140.148.177:7777/udp/239.77.0.145:5146
金鹰纪实,http://61.140.148.177:7777/udp/239.77.1.217:5146
金鹰纪实,http://61.140.148.177:7777/udp/239.77.0.160:5146
金鹰纪实,http://61.140.148.177:7777/udp/239.77.0.162:5146
上海纪实,http://61.140.148.177:7777/udp/239.77.1.216:5146
上海纪实,http://61.140.148.177:7777/udp/239.77.0.147:5146
生态环境,http://61.140.148.177:7777/udp/239.77.1.201:5146
车迷频道,http://61.140.148.177:7777/udp/239.77.1.203:5146
求索纪录,http://61.140.148.177:7777/udp/239.77.0.21:5146
求索生活,http://61.140.148.177:7777/udp/239.77.0.153:5146
武术世界,http://61.140.148.177:7777/udp/239.77.1.108:5146
文物宝库,http://61.140.148.177:7777/udp/239.77.1.120:5146
天元围棋,http://61.140.148.177:7777/udp/239.253.43.98:5146
爱体育,http://61.140.148.177:7777/udp/239.77.0.176:5146
爱体育,http://61.140.148.177:7777/udp/239.77.1.116:5146

广东卫视,http://14.19.129.103:4022/udp/239.77.1.19:5146
广东卫视,http://14.19.129.103:4022/udp/239.77.1.152:5146
广东卫视,http://14.19.129.103:4022/udp/239.77.0.84:5146
广东卫视,http://14.19.129.103:4022/udp/239.77.0.166:5146
广东珠江,http://14.19.129.103:4022/udp/239.77.0.1:5146
广东珠江,http://14.19.129.103:4022/udp/239.77.0.114:5146
广东新闻,http://14.19.129.103:4022/udp/239.77.0.173:5146
广东民生,http://14.19.129.103:4022/udp/239.77.0.225:5146
广东体育,http://14.19.129.103:4022/udp/239.77.0.112:5146
广东体育,http://14.19.129.103:4022/udp/239.77.0.168:5146
经济科教,http://14.19.129.103:4022/udp/239.77.0.85:5146
经济科教,http://14.19.129.103:4022/udp/239.77.0.167:5146
大湾区卫视,http://14.19.129.103:4022/udp/239.77.0.215:5146
广东影视,http://14.19.129.103:4022/udp/239.77.0.217:5146
