广东电信,#genre#
广视课堂 初二,http://59.38.62.183:2052/udp/239.253.43.90:5146
广视课堂 初三,http://59.38.62.183:2052/udp/239.253.43.91:5146
广视课堂 高一,http://59.38.62.183:2052/udp/239.253.43.92:5146
广视课堂 高二,http://59.38.62.183:2052/udp/239.253.43.93:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.0.55:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.1.21:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.1.3:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.1.148:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.0.92:5146
深圳卫视,http://59.38.62.183:2052/udp/239.77.0.130:5146
深圳都市,http://59.38.62.183:2052/udp/239.77.1.34:5146
深圳都市,http://59.38.62.183:2052/udp/239.77.1.176:5146
深圳都市,http://59.38.62.183:2052/udp/239.77.1.124:5146
深圳电视剧,http://59.38.62.183:2052/udp/239.77.1.7:5146
深圳电视剧,http://59.38.62.183:2052/udp/239.77.1.177:5146
深圳电视剧,http://59.38.62.183:2052/udp/239.77.1.125:5146
深圳财经生活,http://59.38.62.183:2052/udp/239.77.1.22:5146
深圳财经生活,http://59.38.62.183:2052/udp/239.77.1.242:5146
深圳娱乐,http://59.38.62.183:2052/udp/239.77.1.36:5146
深圳娱乐,http://59.38.62.183:2052/udp/239.77.1.243:5146
深圳体育健康,http://59.38.62.183:2052/udp/239.77.1.8:5146
深圳体育健康,http://59.38.62.183:2052/udp/239.77.1.128:5146
深圳体育健康,http://59.38.62.183:2052/udp/239.77.1.140:5146
深圳少儿,http://59.38.62.183:2052/udp/239.77.1.38:5146
深圳少儿,http://59.38.62.183:2052/udp/239.77.1.244:5146
深圳公共,http://59.38.62.183:2052/udp/239.77.1.9:5146
深圳公共,http://59.38.62.183:2052/udp/239.77.1.178:5146
深圳公共,http://59.38.62.183:2052/udp/239.77.1.126:5146
深圳宝安,http://59.38.62.183:2052/udp/239.77.1.206:5146
深圳宝安,http://59.38.62.183:2052/udp/239.77.1.67:5146
深圳宝安第一课,http://59.38.62.183:2052/udp/239.77.1.225:5146
深圳龙岗,http://59.38.62.183:2052/udp/239.77.1.223:5146
深圳东部,http://59.38.62.183:2052/udp/239.77.1.224:5146
深圳众创TV,http://59.38.62.183:2052/udp/239.77.1.247:5146
深圳移动电视,http://59.38.62.183:2052/udp/239.77.1.175:5146
韶关新闻综合,http://59.38.62.183:2052/udp/239.77.0.116:5146
韶关新闻综合,http://59.38.62.183:2052/udp/239.77.0.117:5146
韶关绿色生活,http://59.38.62.183:2052/udp/239.77.0.118:5146
韶关绿色生活,http://59.38.62.183:2052/udp/239.77.0.119:5146
湛江新闻综合,http://59.38.62.183:2052/udp/239.77.0.120:5146
湛江新闻综合,http://59.38.62.183:2052/udp/239.77.0.141:5146
湛江公共,http://59.38.62.183:2052/udp/239.77.0.121:5146
湛江公共,http://59.38.62.183:2052/udp/239.77.0.140:5146
揭阳综合,http://59.38.62.183:2052/udp/239.77.0.157:5146
揭阳综合,http://59.38.62.183:2052/udp/239.77.0.229:5146
揭阳生活,http://59.38.62.183:2052/udp/239.77.0.158:5146
揭阳生活,http://59.38.62.183:2052/udp/239.77.0.251:5146
汕尾新闻综合,http://59.38.62.183:2052/udp/239.77.1.189:5146
汕尾新闻综合,http://59.38.62.183:2052/udp/239.77.0.25:5146
汕尾文化生活,http://59.38.62.183:2052/udp/239.77.1.190:5146
汕尾文化生活,http://59.38.62.183:2052/udp/239.77.0.187:5146
江门综合,http://59.38.62.183:2052/udp/239.77.0.195:5146
江门综合,http://59.38.62.183:2052/udp/239.77.0.201:5146
江门侨乡生活,http://59.38.62.183:2052/udp/239.77.0.196:5146
江门侨乡生活,http://59.38.62.183:2052/udp/239.77.0.202:5146
江门教育,http://59.38.62.183:2052/udp/239.77.0.197:5146
江门教育,http://59.38.62.183:2052/udp/239.77.0.203:5146
HZTV-1,http://59.38.62.183:2052/udp/239.77.0.247:5146
HZTV-1,http://59.38.62.183:2052/udp/239.77.1.154:5146
HZTV-1,http://59.38.62.183:2052/udp/239.77.1.232:5146
HZTV-2,http://59.38.62.183:2052/udp/239.77.0.248:5146
HZTV-2,http://59.38.62.183:2052/udp/239.77.1.173:5146
HZTV-2,http://59.38.62.183:2052/udp/239.77.1.233:5146
珠海-1,http://59.38.62.183:2052/udp/239.77.1.230:5146
珠海-1,http://59.38.62.183:2052/udp/239.77.0.155:5146
珠海-2,http://59.38.62.183:2052/udp/239.77.1.231:5146
珠海-2,http://59.38.62.183:2052/udp/239.77.0.154:5146
肇庆综合,http://59.38.62.183:2052/udp/239.253.43.3:5146
肇庆综合,http://59.38.62.183:2052/udp/239.253.43.1:5146
肇庆生活服务,http://59.38.62.183:2052/udp/239.253.43.4:5146
肇庆生活服务,http://59.38.62.183:2052/udp/239.253.43.2:5146
河源综合,http://59.38.62.183:2052/udp/239.253.43.215:5146
河源综合,http://59.38.62.183:2052/udp/239.253.43.213:5146
河源公共,http://59.38.62.183:2052/udp/239.253.43.216:5146
河源公共,http://59.38.62.183:2052/udp/239.253.43.214:5146
清远新闻综合,http://59.38.62.183:2052/udp/239.253.43.31:5146
清远新闻综合,http://59.38.62.183:2052/udp/239.253.43.33:5146
清远文旅生活,http://59.38.62.183:2052/udp/239.253.43.32:5146
清远文旅生活,http://59.38.62.183:2052/udp/239.77.0.241:5146
清远文旅生活,http://59.38.62.183:2052/udp/239.253.43.34:5146
云浮综合,http://59.38.62.183:2052/udp/239.253.43.195:5146
云浮综合,http://59.38.62.183:2052/udp/239.77.0.253:5146
云浮文旅,http://59.38.62.183:2052/udp/239.253.43.194:5146
云浮文旅,http://59.38.62.183:2052/udp/239.77.0.254:5146
茂名综合,http://59.38.62.183:2052/udp/239.77.0.204:5146
茂名综合,http://59.38.62.183:2052/udp/239.77.0.206:5146
茂名公共,http://59.38.62.183:2052/udp/239.77.0.205:5146
茂名公共,http://59.38.62.183:2052/udp/239.77.0.207:5146
汕头综合,http://59.38.62.183:2052/udp/239.253.43.30:5146
汕头综合,http://59.38.62.183:2052/udp/239.77.1.130:5146
汕头综合,http://59.38.62.183:2052/udp/239.253.43.45:5146
汕头经济生活,http://59.38.62.183:2052/udp/239.253.43.43:5146
汕头经济生活,http://59.38.62.183:2052/udp/239.77.1.131:5146
汕头经济生活,http://59.38.62.183:2052/udp/239.253.43.46:5146
汕头文旅体育,http://59.38.62.183:2052/udp/239.253.43.44:5146
汕头文旅体育,http://59.38.62.183:2052/udp/239.77.1.132:5146
汕头文旅体育,http://59.38.62.183:2052/udp/239.253.43.47:5146
佛山公共,http://59.38.62.183:2052/udp/239.253.43.48:5146
佛山公共,http://59.38.62.183:2052/udp/239.253.43.53:5146
佛山南海,http://59.38.62.183:2052/udp/239.253.43.49:5146
佛山南海,http://59.38.62.183:2052/udp/239.77.0.236:5146
